TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,o,o,b,o,x,o,x,x,false
x,o,b,x,o,x,o,o,x,false
x,o,b,x,o,x,b,o,b,false
x,o,b,x,o,b,b,o,x,false
x,o,b,o,o,x,x,o,x,false
x,o,b,b,o,x,x,o,b,false
x,o,b,b,o,x,b,o,x,false
x,o,b,b,o,b,x,o,x,false
x,b,x,x,x,o,o,o,o,false
x,b,x,x,o,x,o,o,o,false
x,b,x,x,b,b,o,o,o,false
x,b,x,o,x,x,o,o,o,false
x,b,x,o,o,o,x,x,o,false
x,b,x,o,o,o,x,o,x,false
x,b,x,o,o,o,x,b,b,false
x,b,x,o,o,o,o,x,x,false
x,b,x,o,o,o,b,x,b,false
x,b,x,o,o,o,b,b,x,false
x,b,x,b,x,b,o,o,o,false
x,b,x,b,b,x,o,o,o,false
x,b,o,x,x,o,o,x,o,false
x,b,o,x,x,o,b,b,o,false
x,b,o,x,o,x,o,x,o,false
x,b,o,x,o,x,o,o,x,false
x,b,o,x,o,x,o,b,b,false
x,b,o,x,o,o,o,x,x,false
x,b,o,x,o,b,o,x,b,false
x,b,o,x,o,b,o,b,x,false
x,b,o,x,b,o,b,x,o,false
x,b,o,o,x,o,x,x,o,false
x,b,o,o,o,x,o,x,x,false
x,b,o,b,x,o,x,b,o,false
x,b,o,b,x,o,b,x,o,false
x,b,o,b,o,x,o,x,b,false
x,b,o,b,o,x,o,b,x,false
x,b,o,b,o,b,o,x,x,false
x,b,o,b,b,o,x,x,o,false
x,b,b,x,x,b,o,o,o,false
x,b,b,x,b,x,o,o,o,false
x,b,b,o,o,o,x,x,b,false
x,b,b,o,o,o,x,b,x,false
x,b,b,o,o,o,b,x,x,false
x,b,b,b,x,x,o,o,o,false
o,x,x,x,x,b,o,o,o,false
o,x,x,x,o,x,o,b,o,false
o,x,x,x,o,x,b,o,o,false
o,x,x,x,o,o,x,b,o,false
o,x,x,x,o,o,b,x,o,false
o,x,x,x,o,b,x,o,o,false
o,x,x,x,o,b,o,x,o,false
o,x,x,x,o,b,b,b,o,false
o,x,x,x,b,x,o,o,o,false
o,x,x,o,x,x,o,o,b,false
o,x,x,o,x,x,o,b,o,false
o,x,x,o,x,o,o,b,x,false
o,x,x,o,x,b,o,o,x,false
o,x,x,o,x,b,o,b,b,false
o,x,x,o,o,x,x,b,o,false
o,x,x,o,o,x,o,x,b,false
o,x,x,o,o,x,b,x,o,false
o,x,x,o,o,o,x,x,b,false
o,x,x,o,o,o,x,b,x,false
o,x,x,o,o,o,b,x,x,false
o,x,x,o,o,b,x,x,o,false
o,x,x,o,o,b,o,x,x,false
o,x,x,o,b,x,o,x,o,false
o,x,x,o,b,x,o,b,b,false
o,x,x,o,b,o,o,x,x,false
o,x,x,o,b,b,o,x,b,false
o,x,x,o,b,b,o,b,x,false
o,x,x,b,x,x,o,o,o,false
o,x,x,b,o,x,x,o,o,false
o,x,x,b,o,x,o,x,o,false
o,x,x,b,o,x,b,b,o,false
o,x,x,b,o,o,x,x,o,false
o,x,x,b,o,b,x,b,o,false
o,x,x,b,o,b,b,x,o,false
o,x,o,x,x,o,x,b,o,false
o,x,o,x,o,x,x,b,o,false
o,x,o,x,o,x,o,x,b,false
o,x,o,x,o,x,o,b,x,false
o,x,o,x,o,x,b,x,o,false
o,x,o,x,o,b,x,x,o,false
o,x,o,x,o,b,o,x,x,false
o,x,o,x,b,o,x,x,o,false
o,x,o,o,x,x,o,b,x,false
o,x,o,o,b,x,o,x,x,false
o,x,o,b,o,x,x,x,o,false
o,x,o,b,o,x,o,x,x,false
o,x,b,x,o,x,x,o,o,false
o,x,b,x,o,x,o,x,o,false
o,x,b,x,o,x,b,b,o,false
o,x,b,x,o,o,x,x,o,false
o,x,b,x,o,b,x,b,o,false
o,x,b,x,o,b,b,x,o,false
o,x,b,o,x,x,o,o,x,false
o,x,b,o,x,x,o,b,b,false
o,x,b,o,x,b,o,b,x,false
o,x,b,o,o,x,x,x,o,false
o,x,b,o,o,x,o,x,x,false
o,x,b,o,b,x,o,x,b,false
o,x,b,o,b,x,o,b,x,false
o,x,b,o,b,b,o,x,x,false
o,x,b,b,o,x,x,b,o,false
o,x,b,b,o,x,b,x,o,false
o,x,b,b,o,b,x,x,o,false
o,o,x,x,o,x,x,o,b,false
o,o,x,x,o,x,x,b,o,false
o,o,x,x,o,x,b,x,o,false
o,o,x,x,o,b,x,x,o,false
o,o,x,x,o,b,x,o,x,false
o,o,x,o,x,x,o,x,b,false
o,o,x,o,x,b,o,x,x,false
o,o,x,b,o,x,x,x,o,false
o,o,o,x,x,o,x,x,b,false
o,o,o,x,x,o,x,b,x,false
o,o,o,x,x,o,b,x,x,false
o,o,o,x,x,b,x,x,o,false
o,o,o,x,x,b,x,o,x,false
o,o,o,x,x,b,x,b,b,false
o,o,o,x,x,b,o,x,x,false
o,o,o,x,x,b,b,x,b,false
o,o,o,x,x,b,b,b,x,false
o,o,o,x,o,x,x,x,b,false
o,o,o,x,o,x,x,b,x,false
o,o,o,x,o,x,b,x,x,false
o,o,o,x,b,x,x,x,o,false
o,o,o,x,b,x,x,o,x,false
o,o,o,x,b,x,x,b,b,false
o,o,o,x,b,x,o,x,x,false
o,o,o,x,b,x,b,x,b,false
o,o,o,x,b,x,b,b,x,false
o,o,o,x,b,b,x,x,b,false
o,o,o,x,b,b,x,b,x,false
o,o,o,x,b,b,b,x,x,false
o,o,o,o,x,x,x,x,b,false
o,o,o,o,x,x,x,b,x,false
o,o,o,o,x,x,b,x,x,false
o,o,o,b,x,x,x,x,o,false
o,o,o,b,x,x,x,o,x,false
o,o,o,b,x,x,x,b,b,false
o,o,o,b,x,x,o,x,x,false
o,o,o,b,x,x,b,x,b,false
o,o,o,b,x,x,b,b,x,false
o,o,o,b,x,b,x,x,b,false
o,o,o,b,x,b,x,b,x,false
o,o,o,b,x,b,b,x,x,false
o,o,o,b,b,x,x,x,b,false
o,o,o,b,b,x,x,b,x,false
o,o,o,b,b,x,b,x,x,false
o,o,b,x,o,x,x,x,o,false
o,o,b,x,o,x,x,o,x,false
o,o,b,o,x,x,o,x,x,false
o,b,x,x,o,x,x,o,o,false
o,b,x,x,o,x,o,x,o,false
o,b,x,x,o,x,b,b,o,false
o,b,x,x,o,o,x,x,o,false
o,b,x,x,o,b,x,b,o,false
o,b,x,x,o,b,b,x,o,false
o,b,x,o,x,x,o,x,o,false
o,b,x,o,x,x,o,b,b,false
o,b,x,o,x,o,o,x,x,false
o,b,x,o,x,b,o,x,b,false
o,b,x,o,x,b,o,b,x,false
o,b,x,o,o,x,x,x,o,false
o,b,x,o,b,x,o,x,b,false
o,b,x,o,b,b,o,x,x,false
o,b,x,b,o,x,x,b,o,false
o,b,x,b,o,x,b,x,o,false
o,b,x,b,o,b,x,x,o,false
o,b,o,x,x,o,x,x,o,false
o,b,o,x,o,x,x,x,o,false
o,b,o,x,o,x,o,x,x,false
o,b,o,o,x,x,o,x,x,false
o,b,b,x,o,x,x,b,o,false
o,b,b,x,o,x,b,x,o,false
o,b,b,x,o,b,x,x,o,false
o,b,b,o,x,x,o,x,b,false
o,b,b,o,x,x,o,b,x,false
o,b,b,o,x,b,o,x,x,false
o,b,b,o,b,x,o,x,x,false
o,b,b,b,o,x,x,x,o,false
b,x,x,x,x,o,o,o,o,false
b,x,x,x,o,x,o,o,o,false
b,x,x,x,b,b,o,o,o,false
b,x,x,o,x,x,o,o,o,false
b,x,x,o,o,o,x,x,o,false
b,x,x,o,o,o,x,o,x,false
b,x,x,o,o,o,x,b,b,false
b,x,x,o,o,o,o,x,x,false
b,x,x,o,o,o,b,x,b,false
b,x,x,o,o,o,b,b,x,false
b,x,x,b,x,b,o,o,o,false
b,x,x,b,b,x,o,o,o,false
b,x,o,x,x,o,x,o,o,false
b,x,o,x,x,o,b,b,o,false
b,x,o,x,o,x,o,x,o,false
b,x,o,x,o,x,o,o,x,false
b,x,o,x,o,x,o,b,b,false
b,x,o,x,o,o,x,x,o,false
b,x,o,x,o,o,o,x,x,false
b,x,o,x,o,b,o,x,b,false
b,x,o,x,o,b,o,b,x,false
b,x,o,x,b,o,x,b,o,false
b,x,o,x,b,o,b,x,o,false
b,x,o,o,o,x,o,x,x,false
b,x,o,b,x,o,x,b,o,false
b,x,o,b,o,x,o,x,b,false
b,x,o,b,o,x,o,b,x,false
b,x,o,b,o,b,o,x,x,false
b,x,o,b,b,o,x,x,o,false
b,x,b,x,x,b,o,o,o,false
b,x,b,x,b,x,o,o,o,false
b,x,b,o,o,o,x,x,b,false
b,x,b,o,o,o,x,b,x,false
b,x,b,o,o,o,b,x,x,false
b,x,b,b,x,x,o,o,o,false
b,o,x,x,o,x,x,o,o,false
b,o,x,x,o,x,b,o,b,false
b,o,x,x,o,o,x,o,x,false
b,o,x,x,o,b,x,o,b,false
b,o,x,x,o,b,b,o,x,false
b,o,x,b,o,x,x,o,b,false
b,o,x,b,o,b,x,o,x,false
b,o,o,x,x,o,x,x,o,false
b,o,o,x,o,x,x,o,x,false
b,o,o,x,o,x,o,x,x,false
b,o,b,x,o,x,x,o,b,false
b,o,b,x,o,x,b,o,x,false
b,o,b,x,o,b,x,o,x,false
b,o,b,b,o,x,x,o,x,false
b,b,x,x,x,b,o,o,o,false
b,b,x,x,b,x,o,o,o,false
b,b,x,o,o,o,x,x,b,false
b,b,x,o,o,o,x,b,x,false
b,b,x,o,o,o,b,x,x,false
b,b,x,b,x,x,o,o,o,false
b,b,o,x,x,o,x,b,o,false
b,b,o,x,x,o,b,x,o,false
b,b,o,x,o,x,o,x,b,false
b,b,o,x,o,x,o,b,x,false
b,b,o,x,o,b,o,x,x,false
b,b,o,x,b,o,x,x,o,false
b,b,o,b,x,o,x,x,o,false
b,b,o,b,o,x,o,x,x,false
x,x,o,o,x,x,x,o,o,false
x,x,o,o,o,x,x,x,o,false
x,x,o,o,o,x,x,o,x,false
x,o,x,x,x,o,o,x,o,false
x,o,x,x,o,x,o,x,o,false
x,o,x,x,o,o,o,x,x,false
x,o,x,o,x,x,o,x,o,false
x,o,x,o,o,x,x,x,o,false
x,o,o,o,x,x,x,x,o,false
o,x,x,x,x,o,o,o,x,false
o,x,x,x,o,o,x,o,x,false
o,x,x,x,o,o,o,x,x,false
o,x,o,x,x,o,x,o,x,false
o,x,o,x,o,x,x,o,x,false
o,x,o,o,x,x,x,o,x,false
o,o,x,x,x,o,o,x,x,false
